id,granja,partos,nacidos_vivos,nacidos_muertos,nacidos_momias,fecha
1,"Cruz Blanca",9,70,10,37,15/05/2019
2,"Cruz Blanca",9,77,12,28,14/05/2019
3,"Cruz Blanca",22,190,37,57,13/05/2019
4,"Cruz Blanca",34,328,18,128,12/05/2019
5,"Cruz Blanca",14,117,6,68,11/05/2019
6,"Cruz Blanca",21,225,8,42,10/05/2019
7,"Cruz Blanca",19,232,11,19,9/05/2019
8,"Cruz Blanca",12,131,8,15,8/05/2019
9,"Cruz Blanca",18,232,10,9,9/05/2019
10,"Cruz Blanca",22,271,11,15,2/05/2019
11,"Cruz Blanca",25,307,14,14,1/05/2019
12,"Pringon",10,114,15,9,17/05/2019
13,"Pringon",6,69,3,2,16/05/2019
14,"Pringon",32,359,21,9,15/05/2019
15,"Pringon",22,214,15,8,14/05/2019
16,"Pringon",11,112,9,6,13/05/2019
17,"Pringon",1,9,1,0,12/05/2019
18,"Pringon",39,444,20,27,12/05/2019
19,"Pringon",13,144,9,6,12/05/2019
20,"Pringon",5,48,6,3,12/05/2019
21,"Pringon",36,434,20,30,12/05/2019
22,"Pringon",33,374,43,26,12/05/2019
23,"Pringon",5,58,3,2,12/05/2019
24,"Pringon",4,35,4,9,12/05/2019
25,"Pringon",37,425,28,27,12/05/2019
26,"Pringon",12,147,7,2,12/05/2019
27,"Pringon",7,90,4,1,12/05/2019
28,"Pringon",29,307,10,13,12/05/2019
29,"Base 5",14,160,5,11,15/05/2019
30,"Base 5",16,188,9,11,14/05/2019
31,"Base 5",26,301,15,25,12/05/2019
32,"Base 5",21,258,9,12,11/05/2019
33,"Base 5",26,173,3,26,10/05/2019
34,"Base 5",15,162,6,9,9/05/2019
35,"Base 5",15,170,10,15,8/05/2019
36,"Base 2",15,148,9,5,18/05/2019
37,"Base 2",16,158,6,11,17/05/2019
38,"Base 2",13,141,5,10,17/05/2019
39,"Base 2",12,126,5,8,9/05/2019
40,"Base 2",13,136,5,6,7/05/2019
41,"Base 2",17,179,8,7,6/05/2019
42,"Base 2",4,43,3,1,5/05/2019
43,"Base 2",4,45,1,0,4/05/2019
44,"Base 2",16,172,6,14,3/05/2019
45,"Base 2",8,85,4,6,2/05/2019
46,"Base 2",8,80,3,4,1/05/2019
47,"San Miguel de Allende",5,47,1,1,17/05/2019
48,"San Miguel de Allende",2,16,1,0,16/05/2019
49,"San Miguel de Allende",10,100,5,11,14/05/2019
50,"San Miguel de Allende",11,128,4,2,13/05/2019
51,"San Miguel de Allende",7,88,6,1,12/05/2019
52,"San Miguel de Allende",9,97,5,0,10/05/2019
53,"San Miguel de Allende",8,76,5,3,8/05/2019
54,"San Miguel de Allende",5,52,2,2,7/05/2019
55,"San Miguel de Allende",16,191,9,0,6/05/2019
56,"San Miguel de Allende",6,68,2,2,5/05/2019
57,"San Miguel de Allende",8,92,2,2,4/05/2019
57,"San Miguel de Allende",8,82,10,2,3/05/2019
58,"San Miguel de Allende",7,86,5,2,2/05/2019
59,"San Miguel de Allende",7,73,4,0,1/05/2019
60,"San Luis de la Paz",22,267,8,12,18/05/2019
61,"San Luis de la Paz",13,183,8,5,17/05/2019
62,"San Luis de la Paz",5,37,5,3,16/05/2019
63,"San Luis de la Paz",5,53,1,4,15/05/2019
64,"San Luis de la Paz",1,9,0,1,14/05/2019
65,"San Luis de la Paz",7,59,7,5,13/05/2019
66,"San Luis de la Paz",21,236,5,20,12/05/2019
67,"San Luis de la Paz",17,193,10,10,11/05/2019
68,"San Luis de la Paz",10,111,2,6,10/05/2019
69,"San Luis de la Paz",1,12,2,0,9/05/2019
70,"San Luis de la Paz",2,27,0,0,7/05/2019
71,"San Luis de la Paz",5,59,1,6,6/05/2019
72,"San Luis de la Paz",5,52,1,3,5/05/2019
73,"San Luis de la Paz",48,574,18,36,4/05/2019
74,"San Luis de la Paz",8,102,4,6,3/05/2019
75,"San Luis de la Paz",8,93,3,8,2/05/2019
76,"San Luis de la Paz",1,12,0,1,1/05/2019